0.20000	-0.75200	-0.30000	0.00000
0.25000	-0.74500	-0.31000	0.00000
0.32000	-0.74000	-0.33000	0.00000
0.50000	-0.73000	-0.37500	0.00000
0.63000	-0.72600	-0.39500	0.00000
1.00000	-0.70000	-0.44000	0.00000
1.30000	-0.69000	-0.46500	-0.00200
1.60000	-0.67000	-0.48000	-0.03100
2.00000	-0.60000	-0.49500	-0.06000
2.50000	-0.50000	-0.50800	-0.09500
3.20000	-0.44500	-0.51300	-0.13000
4.00000	-0.39000	-0.51800	-0.16000
5.00000	-0.30600	-0.52100	-0.18500
6.30000	-0.28000	-0.52800	-0.18500
8.00000	-0.26000	-0.56000	-0.14000
10.00000	-0.25000	-0.59500	-0.13200
12.60000	-0.23200	-0.63700	-0.11700
15.90000	-0.24900	-0.64200	-0.10500
20.00000	-0.28600	-0.64300	-0.10500
25.00000	-0.31400	-0.60900	-0.10500
32.00000	-0.32200	-0.61800	-0.10800
40.00000	-0.33000	-0.62400	-0.11500
100.00000	-0.36100	-0.64100	-0.14400
