0.10000	-20.06107	2.50246	1.80000	0.00000	-1.13010	0.08057	-0.00055	-0.32349	0.30390	1.31130
0.13300	-18.66299	2.41186	1.90000	0.00000	-1.16052	0.08208	-0.00063	-0.36373	0.31190	1.30000
0.20000	-16.58806	2.23360	1.90000	0.00000	-1.19869	0.08625	-0.00080	-0.40189	0.32740	1.18200
0.25000	-15.22512	2.11094	2.00000	0.00000	-1.25398	0.09062	-0.00085	-0.41303	0.34230	1.10590
0.33300	-13.39925	1.93667	2.10000	0.00000	-1.33056	0.09702	-0.00091	-0.41576	0.37450	1.03800
0.50000	-10.92487	1.67642	2.10000	0.00000	-1.41670	0.10615	-0.00105	-0.39729	0.43110	0.96580
0.66700	-9.08872	1.47527	2.20000	0.00000	-1.51519	0.11500	-0.00112	-0.37210	0.43840	0.86490
1.00000	-7.00883	1.21785	2.10000	0.00000	-1.60080	0.12434	-0.00126	-0.32552	0.49240	0.82560
1.33300	-5.67931	1.05981	2.00000	0.00000	-1.64755	0.12953	-0.00137	-0.28936	0.53080	0.84680
2.00000	-3.92569	0.84817	2.10000	0.00000	-1.75261	0.14192	-0.00170	-0.24602	0.53320	0.79520
2.50000	-3.12602	0.75319	2.10000	0.00000	-1.82434	0.14839	-0.00177	-0.22649	0.55150	0.78940
3.33300	-2.09571	0.63331	2.20000	0.00000	-1.91756	0.15954	-0.00204	-0.20556	0.58860	0.81030
4.16700	-1.50171	0.57010	2.20000	0.00000	-1.97730	0.16564	-0.00219	-0.19419	0.60770	0.81140
5.00000	-0.85507	0.51403	2.30000	0.00000	-2.05632	0.17230	-0.00229	-0.18721	0.64480	0.82890
6.66700	-0.21847	0.45405	2.30000	0.00000	-2.14517	0.18072	-0.00243	-0.18035	0.66740	0.84080
10.00000	1.41516	0.32933	2.60000	0.00000	-2.41950	0.20126	-0.00244	-0.17581	0.67840	0.84260
13.33300	2.34381	0.26746	2.70000	0.00000	-2.59432	0.21244	-0.00235	-0.17499	0.67380	0.83080
20.00000	3.90932	0.16773	2.90000	0.00000	-2.90264	0.23054	-0.00204	-0.17525	0.67120	0.83050
25.00000	4.73824	0.11380	3.00000	0.00000	-3.07586	0.24039	-0.00179	-0.17566	0.66720	0.82470
34.00000	5.73551	0.05753	3.10000	0.00000	-3.28259	0.25061	-0.00147	-0.17635	0.65180	0.80860
40.00000	5.95074	0.04757	3.10000	0.00000	-3.34144	0.25283	-0.00131	-0.17681	0.64150	0.79770
50.00000	5.44598	0.07177	3.00000	0.00000	-3.28537	0.25005	-0.00123	-0.17790	0.62630	0.78710
100.00000	2.62409	0.18314	2.70000	0.00000	-2.84813	0.23496	-0.00147	-0.18265	0.60200	0.76830
105.00000	1.94816	0.22231	2.60000	0.00000	-2.73230	0.22861	-0.00157	-0.18324	0.59760	0.76490
