0.10000	-19.62771	2.37863	1.60000	0.00000	-0.81479	0.01546	-0.00027	-0.35171	0.20660	1.29220
0.13300	-18.18962	2.24940	1.60000	0.00000	-0.83277	0.01769	-0.00039	-0.35266	0.21130	1.27970
0.20000	-15.96589	2.03343	1.70000	0.00000	-0.90334	0.02432	-0.00053	-0.33114	0.24010	1.16090
0.25000	-14.68409	1.91250	1.80000	0.00000	-0.96082	0.02900	-0.00057	-0.31279	0.26540	1.08460
0.33300	-13.16400	1.76172	1.80000	0.00000	-1.01410	0.03516	-0.00069	-0.28684	0.30830	1.01600
0.50000	-10.91115	1.54906	1.90000	0.00000	-1.12846	0.04624	-0.00080	-0.25449	0.37120	0.94050
0.66700	-9.34243	1.39827	2.00000	0.00000	-1.22858	0.05550	-0.00087	-0.23866	0.37240	0.83340
1.00000	-7.51876	1.20223	1.90000	0.00000	-1.32362	0.06660	-0.00101	-0.22526	0.42570	0.78760
1.33300	-6.15054	1.07271	1.90000	0.00000	-1.40319	0.07370	-0.00108	-0.21826	0.48000	0.81590
2.00000	-4.46949	0.89608	2.00000	0.00000	-1.50124	0.08528	-0.00142	-0.20949	0.49160	0.76790
2.50000	-3.83347	0.81740	1.90000	0.00000	-1.53149	0.08956	-0.00156	-0.20336	0.52560	0.77150
3.33300	-2.80897	0.70732	2.00000	0.00000	-1.60718	0.09870	-0.00187	-0.19505	0.58150	0.80520
4.16700	-1.98749	0.63335	2.10000	0.00000	-1.69694	0.10571	-0.00197	-0.18939	0.61320	0.81560
5.00000	-1.54722	0.59123	2.10000	0.00000	-1.72652	0.10941	-0.00216	-0.18555	0.65680	0.83820
6.66700	-0.88020	0.52752	2.10000	0.00000	-1.80627	0.11725	-0.00235	-0.18091	0.68940	0.85840
10.00000	0.36600	0.43107	2.30000	0.00000	-1.99842	0.13239	-0.00252	-0.17722	0.70750	0.86620
13.33300	1.21055	0.37380	2.40000	0.00000	-2.15434	0.14259	-0.00249	-0.17602	0.70540	0.85660
20.00000	2.57488	0.28755	2.60000	0.00000	-2.42736	0.15866	-0.00226	-0.17541	0.70110	0.85480
25.00000	3.70933	0.21903	2.80000	0.00000	-2.66156	0.17117	-0.00193	-0.17538	0.69510	0.84740
34.00000	4.62521	0.16851	2.90000	0.00000	-2.85735	0.18073	-0.00162	-0.17545	0.67740	0.82940
40.00000	4.84234	0.15701	2.90000	0.00000	-2.91740	0.18321	-0.00146	-0.17557	0.66680	0.81820
50.00000	4.93563	0.14508	2.90000	0.00000	-2.97179	0.18610	-0.00122	-0.17584	0.65160	0.80740
100.00000	2.27065	0.23507	2.60000	0.00000	-2.56256	0.17363	-0.00142	-0.17617	0.62410	0.78580
105.00000	1.62848	0.26802	2.50000	0.00000	-2.45195	0.16823	-0.00151	-0.17639	0.61920	0.78190
